"id";"libelle";"visible";"est_supprimer";"created_id";"modificateur_id";"created_at";"updated_at";"code"
"8";"TL10";"1";"1";"47";"47";"2018-08-09 14:03:01";"2020-03-23 08:12:23";"Ticket"
"9";"TL5";"1";"1";"47";"47";"2018-08-09 14:03:07";"2020-03-23 08:12:25";"Ticket"
"10";"ESPECES";"1";"1";"47";"47";"2018-08-09 14:04:37";"2020-03-23 08:12:25";"Autre"
"11";"MTN Mobile Money";"1";"1";"47";"47";"2018-08-09 14:04:55";"2020-03-20 17:41:53";"Autre"
"13";"TICKET ORA BANK";"1";"1";"2290";"1598";"2020-03-25 07:52:20";"2022-03-31 07:29:53";"Autre"
"14";"OFFERT";"1";"1";"2290";"1598";"2020-03-25 07:52:39";"2022-03-31 07:29:51";"Autre"
"15";"PP-SP";"1";"1";"2290";"1598";"2020-03-25 07:55:17";"2022-03-31 07:29:59";"Autre"
"16";"ABONNEE -SMP";"1";"1";"2290";"1598";"2020-03-25 07:57:15";"2022-03-31 07:29:58";"Autre"
"17";"TICKET SGB";"1";"1";"47";"1598";"2021-02-17 08:52:28";"2022-03-31 07:29:46";"Autre"
"18";"TICKET MTN SHINE 2500";"1";"1";"1598";"1598";"2022-03-31 07:27:25";"2022-03-31 07:29:42";"Ticket"
"19";"TICKET MTN SHINE 3500";"1";"1";"1598";"1598";"2022-03-31 07:27:39";"2022-04-23 15:59:32";"Ticket"
